class,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22,x23,y23,z23,v23,x24,y24,z24,v24,x25,y25,z25,v25,x26,y26,z26,v26,x27,y27,z27,v27,x28,y28,z28,v28,x29,y29,z29,v29,x30,y30,z30,v30,x31,y31,z31,v31,x32,y32,z32,v32,x33,y33,z33,v33
neutral,0.511574626,0.11426241,-0.172724918,0.999895871,0.51474905,0.103422076,-0.159869164,0.999666274,0.517085612,0.104023859,-0.159901112,0.999648213,0.519581378,0.104638889,-0.1599271,0.999670804,0.508854866,0.102312326,-0.160157874,0.999682367,0.50668323,0.102326676,-0.160184518,0.9996683,0.504615128,0.102483898,-0.160201907,0.999679744,0.524343312,0.11161232,-0.075223148,0.999447167,0.501496613,0.110243872,-0.076883718,0.999351144,0.515420079,0.128827274,-0.140263364,0.999810696,0.508532882,0.12706615,-0.140807435,0.99978137,0.544154525,0.193625882,-0.020380665,0.999770045,0.475459874,0.196442083,-0.016699087,0.99978137,0.556385875,0.292876244,0.015908666,0.953258574,0.457696527,0.291105062,0.025313679,0.928906322,0.562126219,0.389060408,-0.054800648,0.850865483,0.448278129,0.379860759,-0.039123677,0.816791117,0.567311227,0.410814673,-0.075257882,0.762571096,0.444021851,0.403636366,-0.060834568,0.741136432,0.564246297,0.410556018,-0.103142738,0.775838733,0.449869782,0.403214276,-0.090430655,0.757102966,0.560244799,0.405183762,-0.067821756,0.76804626,0.453473151,0.395414829,-0.053015113,0.751979709,0.532203317,0.404709935,-0.00301889,0.99875623,0.488287836,0.4015975,0.003067665,0.999033689,0.532359064,0.563479364,-0.028761914,0.945765138,0.475583076,0.572292566,-0.02997615,0.963248551,0.534767032,0.713782251,0.053713363,0.943059385,0.460143268,0.719038904,0.050328232,0.958729744,0.529380143,0.731061995,0.056073211,0.684443057,0.462394863,0.743473589,0.051867306,0.691159606,0.539035022,0.755342424,-0.048414119,0.917781889,0.44113484,0.762467384,-0.05709964,0.931482792
neutral,0.511694193,0.11621315,-0.181026384,0.999891341,0.515054345,0.105093248,-0.16976586,0.999649167,0.517274201,0.105906099,-0.169807643,0.999628603,0.519711494,0.106714122,-0.169838756,0.999653697,0.509015024,0.103523158,-0.170234561,0.999670684,0.506979227,0.103457883,-0.170271799,0.999655664,0.504991233,0.103633635,-0.17031315,0.999678314,0.524139285,0.114139445,-0.086308628,0.999413729,0.501475215,0.112501949,-0.089144677,0.999355376,0.515737653,0.131500766,-0.148431867,0.999792635,0.508472919,0.128859505,-0.149302498,0.99976939,0.544446766,0.194827944,-0.027084202,0.999764144,0.475399882,0.197622046,-0.027522022,0.999799132,0.556575239,0.292867631,0.01225623,0.949792683,0.458189338,0.29179579,0.014216731,0.93554318,0.562372029,0.388907135,-0.054897524,0.84743309,0.449105829,0.380002469,-0.044719663,0.832737923,0.567738354,0.411004663,-0.072980359,0.760743916,0.444487751,0.40253669,-0.064405017,0.757820606,0.564651608,0.410717756,-0.100618288,0.774038076,0.449628204,0.403439313,-0.09385781,0.773792744,0.560815692,0.404966235,-0.067483425,0.763971806,0.453311682,0.396127492,-0.058448773,0.768869638,0.532482743,0.406396836,-0.002627291,0.998641968,0.488196194,0.403811276,0.002704504,0.999028444,0.532838523,0.56475997,-0.025085431,0.950162113,0.4740026,0.573622346,-0.032421127,0.967207074,0.535522163,0.713689148,0.056100279,0.940588653,0.458824635,0.719196081,0.038151596,0.958998978,0.530058384,0.730958521,0.057731133,0.657551527,0.460797399,0.743260741,0.038569544,0.68012625,0.542379677,0.754819632,-0.044649281,0.912221968,0.44030723,0.758253276,-0.068704903,0.928772449
neutral,0.509096324,0.117298082,-0.106115818,0.999876797,0.512571156,0.105861567,-0.095986553,0.999590099,0.514872551,0.106658094,-0.096009038,0.999573767,0.517306089,0.107430965,-0.09602318,0.999608278,0.505998015,0.104490705,-0.09566126,0.999623537,0.503799498,0.10445933,-0.095656015,0.999607503,0.501769543,0.104708821,-0.095664911,0.999639928,0.521245062,0.115461938,-0.032634418,0.999308705,0.497025162,0.114137955,-0.031520016,0.999249578,0.51369822,0.13294664,-0.081882089,0.999742746,0.50477922,0.130562425,-0.081558391,0.999713063,0.543223321,0.197832882,-0.004680103,0.999750733,0.47146517,0.199181646,0.004937475,0.999797702,0.555283904,0.294230342,0.022329818,0.945948303,0.456478685,0.29215914,0.041225828,0.934867561,0.562151551,0.389545351,-0.019355478,0.84949255,0.44577688,0.37975505,0.010218879,0.841139853,0.567684412,0.411492705,-0.031436749,0.768864691,0.441250026,0.401726454,-0.002142781,0.770361423,0.564725757,0.411199391,-0.05309657,0.78116107,0.445226967,0.402409464,-0.02594148,0.786326647,0.560841262,0.405355662,-0.028767835,0.771195352,0.44971028,0.396344751,-0.000980207,0.782609224,0.531782031,0.407052338,-0.002226898,0.998604059,0.487610281,0.40510276,0.002286233,0.999022782,0.532889783,0.564654589,-0.016565714,0.952998161,0.474571645,0.56965065,-0.028664034,0.968676329,0.535215616,0.71180135,0.048097026,0.939639151,0.466750234,0.713008761,0.034281332,0.956901431,0.52931571,0.727767885,0.049152099,0.627477407,0.470273256,0.729692101,0.034943298,0.655097961,0.542336106,0.754353583,-0.039251074,0.907783151,0.45680815,0.756665587,-0.053465325,0.922992349
neutral,0.498542607,0.117980771,-0.12811099,0.999875009,0.502286375,0.106324106,-0.118021846,0.999579608,0.504954696,0.106910914,-0.11800386,0.999569356,0.50761205,0.107537203,-0.11803557,0.999608338,0.495451748,0.105563276,-0.117075898,0.999613106,0.493179619,0.105731323,-0.117149964,0.999587893,0.490939081,0.106155798,-0.117213547,0.999617219,0.511851132,0.11603801,-0.064408295,0.999311149,0.486869425,0.115381427,-0.048301671,0.999204099,0.503660321,0.133403316,-0.103565261,0.99974066,0.493521065,0.131801859,-0.101330057,0.99969852,0.535242736,0.199717477,-0.027816135,0.999769509,0.462606996,0.200798646,-0.007482552,0.999801159,0.549709618,0.294779599,0.011806985,0.94623208,0.449838549,0.293375701,0.045193844,0.9269979,0.559158087,0.389738381,-0.028286686,0.856603205,0.444335371,0.383761019,0.028870378,0.832493305,0.565064907,0.412097812,-0.039554097,0.782922208,0.441100985,0.408589065,0.020782851,0.761743188,0.56099546,0.412069112,-0.062976435,0.79403007,0.445235342,0.408345699,-0.002824528,0.777773798,0.557247639,0.406047136,-0.038149469,0.783417821,0.449217945,0.400544763,0.018650997,0.775695622,0.528044581,0.408640981,-0.004106577,0.998679519,0.484016031,0.406872571,0.004130862,0.999072731,0.531992197,0.56510061,-0.023999797,0.955194414,0.475616932,0.569138587,-0.021993661,0.969325304,0.534267008,0.711057603,0.040691998,0.940171719,0.469942272,0.711390734,0.045529865,0.956258059,0.52639997,0.726598561,0.041631754,0.611145854,0.475206763,0.729040742,0.046788916,0.652467966,0.543592036,0.754928172,-0.047101583,0.905632496,0.455451399,0.756272674,-0.039933518,0.920958877
neutral,0.490828276,0.119059496,-0.266204506,0.999864995,0.494126648,0.107738405,-0.256651282,0.999566615,0.496457487,0.108220458,-0.256677836,0.99956286,0.498924971,0.108770005,-0.256726831,0.999597728,0.487601697,0.10737209,-0.256541342,0.999587536,0.485450417,0.107708842,-0.256580144,0.999570191,0.483237416,0.108270235,-0.256608605,0.999595881,0.503009319,0.117160678,-0.171739846,0.999315977,0.479423463,0.117670886,-0.171185821,0.999201596,0.495337814,0.133845806,-0.232200176,0.999759972,0.486320257,0.133296788,-0.232218772,0.999705136,0.527413011,0.201712385,-0.097939059,0.999765217,0.455558211,0.204252779,-0.085249774,0.999788046,0.542141497,0.296474725,-0.022831175,0.949851871,0.443388402,0.297175914,-0.000790884,0.927162886,0.551194549,0.390761584,-0.05548846,0.844902575,0.440040678,0.391405553,-0.023490479,0.820564806,0.55605638,0.414591283,-0.067090586,0.760684848,0.43850866,0.415698349,-0.032618485,0.743348777,0.550800443,0.414230704,-0.09533681,0.772838056,0.443054199,0.415311784,-0.062456716,0.759031951,0.547770619,0.406722099,-0.066632003,0.760817766,0.445921719,0.407651633,-0.035321675,0.75623554,0.521227121,0.408413291,-0.003713971,0.998529971,0.479250491,0.407343179,0.00370364,0.998941302,0.528095603,0.565272391,-0.010371084,0.954995215,0.474537939,0.568380177,-0.008865174,0.968183041,0.535199285,0.712339997,0.091797121,0.937013566,0.469191253,0.708875775,0.096112877,0.950465322,0.528365016,0.726944447,0.095588595,0.599225223,0.474159896,0.727208197,0.100431517,0.643242896,0.544236302,0.755597293,-0.008497459,0.897637844,0.455391556,0.752549946,-0.005601211,0.913531482
neutral,0.481191009,0.122014493,-0.258930773,0.999873221,0.484165996,0.110564105,-0.249479339,0.999609828,0.486398697,0.11099188,-0.249498561,0.999623001,0.488777459,0.111516207,-0.249537319,0.999640644,0.478411913,0.110437624,-0.248995662,0.999612689,0.476525843,0.110857837,-0.249020308,0.9996171,0.474590838,0.111510128,-0.249032766,0.999637425,0.493138403,0.119978972,-0.166899607,0.999457836,0.46994862,0.121632047,-0.165485322,0.999325156,0.485819399,0.13656126,-0.225990385,0.999824524,0.477524906,0.136417747,-0.225440428,0.999762416,0.518767715,0.204679534,-0.097610906,0.999782562,0.445934862,0.209365517,-0.082094625,0.999801517,0.534841359,0.296678275,-0.011885447,0.960851312,0.435929239,0.304538608,0.009993456,0.929653168,0.544831276,0.389238715,-0.032898754,0.81880939,0.431774706,0.395069242,-0.001931241,0.82104367,0.548013866,0.415623307,-0.040922262,0.705385149,0.429330409,0.419384748,-0.009862212,0.737072766,0.542397797,0.412608325,-0.06985379,0.719428003,0.434220463,0.418413192,-0.039199412,0.752425551,0.53872931,0.403093368,-0.04429315,0.705640614,0.438231617,0.410595536,-0.013615124,0.746642649,0.514384747,0.405568719,-0.007441574,0.998310983,0.471094549,0.408297151,0.00741626,0.998831749,0.525292039,0.565292656,-0.015362454,0.966412008,0.472557366,0.573592901,-0.004006935,0.974281251,0.536548853,0.71135664,0.078920819,0.950910211,0.473039448,0.711612284,0.089788079,0.958821893,0.532600522,0.72746104,0.081221767,0.628247797,0.480347812,0.733486235,0.092461839,0.692711174,0.541911066,0.750629842,-0.019833315,0.915424347,0.45793128,0.757710218,-0.005930439,0.929457545
neutral,0.482763678,0.123447016,-0.248007223,0.999883235,0.48544994,0.112307355,-0.240188912,0.999637961,0.487530947,0.112847753,-0.240184218,0.99965167,0.489804685,0.11345239,-0.240205884,0.999661565,0.479922444,0.111993246,-0.241909117,0.999641001,0.477949798,0.112399131,-0.241932899,0.999648929,0.475875467,0.11302609,-0.24194698,0.999665797,0.493975163,0.122326493,-0.162770838,0.99950856,0.471199691,0.123401262,-0.168343663,0.999394238,0.487298638,0.138057604,-0.217260092,0.999837399,0.479096949,0.137292013,-0.219411775,0.999778032,0.519441903,0.20587644,-0.093560077,0.999792874,0.447235256,0.209160462,-0.095712982,0.999819696,0.535464585,0.300167561,-0.017468993,0.959227681,0.43663922,0.304783463,-0.022958752,0.934602022,0.544958174,0.388711929,-0.044066098,0.809302449,0.431290865,0.391888618,-0.039327674,0.837735891,0.547770321,0.414979935,-0.055086039,0.694150567,0.427450746,0.415849179,-0.047714841,0.758990824,0.541871428,0.411152184,-0.082040235,0.708681941,0.433038294,0.41323182,-0.076900169,0.773532152,0.538231254,0.400592804,-0.055877227,0.696104407,0.43765372,0.405645341,-0.051149618,0.767146468,0.514277577,0.405461699,-0.006182528,0.998508334,0.471443087,0.408076853,0.006162568,0.998961866,0.525450587,0.564815164,-0.026511153,0.969086587,0.472606421,0.572759032,-0.009607049,0.976062179,0.538036048,0.711906493,0.042249482,0.955602348,0.473196417,0.711658895,0.064274386,0.962396502,0.531093895,0.730456769,0.042582646,0.648328066,0.476820856,0.735186934,0.065867543,0.710217535,0.55208689,0.75141871,-0.053458251,0.923334301,0.455453336,0.757341444,-0.026267733,0.935679436
neutral,0.486741245,0.123254545,-0.224985555,0.999900937,0.489538372,0.112508535,-0.216504529,0.99968791,0.491699636,0.113102429,-0.216489077,0.999698758,0.49400574,0.113768212,-0.216500044,0.999704957,0.48405084,0.112167425,-0.217956215,0.999692261,0.482254803,0.112585969,-0.21798256,0.999700367,0.480433047,0.11322324,-0.217992619,0.99971354,0.498432815,0.123102829,-0.142756432,0.999571562,0.477552503,0.123950906,-0.149931997,0.999484539,0.491082042,0.137791529,-0.195386097,0.99985683,0.484225094,0.136915624,-0.197571635,0.999805748,0.522813857,0.207650125,-0.076923594,0.999803662,0.452311605,0.207010657,-0.089930296,0.999844253,0.540363967,0.304671377,-0.002561003,0.960624456,0.439938486,0.299536973,-0.010698481,0.943323433,0.54777956,0.392161489,-0.02695168,0.822660208,0.433719814,0.386338443,-0.017274516,0.861170709,0.55129683,0.419484347,-0.03477636,0.713302851,0.428871006,0.410782695,-0.024199497,0.790356576,0.546878755,0.417900652,-0.061220028,0.727312684,0.434880823,0.408861548,-0.051209003,0.803304315,0.543194711,0.409507275,-0.037470862,0.715237617,0.438841492,0.401445657,-0.027958855,0.796721518,0.516093373,0.405715913,-0.002195483,0.998710573,0.472648084,0.40808928,0.002164182,0.999104679,0.526107609,0.564247668,-0.030223629,0.970288575,0.473265469,0.57377708,-0.025211865,0.977364004,0.539162934,0.712947965,0.030999165,0.95827502,0.472846419,0.713078797,0.043466195,0.964415848,0.531087875,0.734926045,0.03060307,0.661809087,0.473773539,0.738471091,0.044169229,0.713932991,0.554099202,0.752944708,-0.065916538,0.928296268,0.455016315,0.757638216,-0.050212406,0.938932359
neutral,0.491610855,0.122538395,-0.259033978,0.999909639,0.494378269,0.11242903,-0.250812352,0.999710917,0.496469915,0.113077708,-0.250804752,0.999717236,0.49869433,0.113790385,-0.250829935,0.999723732,0.488941044,0.111955017,-0.252578855,0.999717116,0.487032324,0.112337522,-0.252628922,0.999724329,0.485197246,0.112930723,-0.252659142,0.999736786,0.5028736,0.123133183,-0.170831174,0.999593437,0.48244071,0.123808429,-0.179512173,0.999530256,0.495501667,0.137109622,-0.226394176,0.999863446,0.489057213,0.136015281,-0.229111403,0.999817014,0.526365459,0.208344698,-0.09545365,0.999810755,0.456740469,0.204881206,-0.107277095,0.999863565,0.541856229,0.307661235,-0.019993225,0.95865941,0.444559753,0.298426181,-0.043349799,0.948472977,0.549747229,0.395066381,-0.052503575,0.826963186,0.439509392,0.387754172,-0.074101165,0.871273518,0.554044604,0.421253949,-0.062645569,0.720119476,0.433973461,0.41377303,-0.085665844,0.802688599,0.549751878,0.419586957,-0.090134092,0.734414697,0.440119982,0.411286622,-0.116365775,0.814962149,0.546312451,0.412183493,-0.063674301,0.722240031,0.444334269,0.402912647,-0.086799711,0.808056176,0.519833207,0.405412465,-6.49E-05,0.998846948,0.476446152,0.405284435,4.41E-05,0.999195457,0.527572036,0.56401521,-0.028182024,0.967760026,0.474737555,0.574142992,-0.025076378,0.976305962,0.539728284,0.713326395,0.037996553,0.95620507,0.471690655,0.714435816,0.049934052,0.962355137,0.531458914,0.735667169,0.038094856,0.658922255,0.472749412,0.73919028,0.051271856,0.695242643,0.554698765,0.754675627,-0.060614932,0.927253962,0.454820096,0.758069992,-0.045137227,0.936540127
neutral,0.495517194,0.122504972,-0.160358757,0.999913573,0.498696417,0.112442106,-0.151404843,0.999722838,0.501038074,0.113109477,-0.15140304,0.999723673,0.503455937,0.113825388,-0.151418224,0.999732494,0.492383391,0.111780956,-0.153167441,0.999735117,0.48998794,0.112072878,-0.153179616,0.999740481,0.487785995,0.112555526,-0.153184026,0.999753237,0.507230401,0.123039983,-0.086347364,0.999594092,0.48424682,0.122891136,-0.095576644,0.999566555,0.49944371,0.13713643,-0.134721458,0.999865592,0.492031515,0.135964215,-0.137383595,0.999826789,0.529114068,0.208351672,-0.042422675,0.999813378,0.459018946,0.202262297,-0.056259256,0.999878943,0.54365623,0.308522224,0.006708114,0.954137444,0.446421295,0.298061341,-0.023143854,0.95245266,0.55364424,0.396143466,-0.016186913,0.827813625,0.441244185,0.388422996,-0.050907187,0.877334058,0.559225857,0.42163831,-0.023688333,0.72655046,0.436323822,0.415156245,-0.063545227,0.810835302,0.556092024,0.420855701,-0.045709904,0.740703523,0.442369312,0.412915319,-0.081678919,0.822650969,0.551886201,0.413788915,-0.025221836,0.730911374,0.446338475,0.404024601,-0.059610136,0.81622237,0.522326291,0.405109107,0.002057962,0.998926222,0.478702605,0.403088868,-0.002083966,0.999232233,0.528277338,0.56364727,-0.023523385,0.962400854,0.475153357,0.571011603,-0.028395075,0.973124683,0.539487839,0.713409364,0.034710839,0.948889673,0.471228063,0.71434027,0.032556735,0.95514828,0.530192137,0.735078275,0.034948841,0.636381328,0.4727377,0.735670626,0.033460952,0.659127653,0.551708281,0.754896522,-0.052237649,0.916825354,0.458849818,0.761751413,-0.051249046,0.9254632
